sortable
"iccid"
"limit_state"
"fraud_state"
"imsi"
"imei"
"eid"
"msisdn"
"sim_state"
"order_id"
"provider_name"
"sim_type_name"
"subunit"
"last_update"
"offering_name"
"data_profile_name"
"fraud_profile_name"
"network_profile_name"
"cost_limit_profile_name"
"limit_profile_name"
"remark01"
"remark02"
"remark03"
"remark04"
"remark05"
"remark06"
"remark07"
"remark08"
"remark09"
"remark10"
